Fri Nov 21 10:57:06 CST 2014
Timestamp, DB min, DB max, DB current, DB used, Core Threads, Active Threads, Queue Tasks, Completed Tasks, Sessions, NIO Read, NIO Written, Queued NIO events, Queues NIO writes
1416539631858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539636858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539641858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539646858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539651858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539656858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539661858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539666858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539671858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539676858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539681858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539686858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539691858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539696858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539701858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539706858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539711858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539716858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539721858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539726858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539731858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539736858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539741858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539746858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539751858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539756858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539761858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539766858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539771858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539776858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539781858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539786858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539791858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539796858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539801858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539806858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539811858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539816858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539821858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539826858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539831858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539836858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539841858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539846858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539851858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539856858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539861858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539866858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539871858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539876858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539881858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539886858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539891858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539896858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539901858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539906858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539911858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539916858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539921858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539926858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539931858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539936858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539941858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539946858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539951858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539956858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539961858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539966858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539971858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539976858,5,25,5,0,17,0,0,0,0,0,0,0,0
1416539981858,5,25,5,0,17,0,0,0,0,0,0,0,0
